BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_LT_12,AVE_MO_EN_PA_LT_12,AVE_PA_PAY_PA_LT_12,AVE_IP_PAY_PA_LT_12,AVE_SNF_PAY_PA_LT_12,AVE_OTH_PAY_PA_LT_12,AVE_IP_ADM_PA_LT_12,AVE_SNF_DAYS_PA_LT_12,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_LT_12,AVE_MO_EN_PB_LT_12,AVE_PB_PAY_PB_LT_12,AVE_CA_PAY_PB_LT_12,AVE_OP_PAY_PB_LT_12,AVE_OTH_PAY_PB_LT_12,AVE_CA_VST_PB_LT_12,AVE_OP_VST_PB_LT_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PC_LT_12,AVE_MO_EN_PC_LT_12,BENE_COUNT_PC_EQ_12,BENE_COUNT_PD_LT_12,AVE_MO_EN_PD_LT_12,AVE_PDE_CST_PD_LT_12,AVE_PDE_PD_LT_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12
1,1,,,0,0,,,0,0,,0,,1,0,41,7.098,20056,16444,,,1.512,,168,15615,11590,2965,1060,1.101,6.732,42,6.952,13065,8808,2761,1496,8.905,7.548,162,10544,5492,3453,1599,11.5,7.012,,,,,,,,65,7230,49.877
1,1,,,0,0,,,0,0,,0,,1,1,43,7.884,26903,,,,,,202,14787,9687,3405,1695,0.955,9.332,46,7.652,10375,6328,3118,929,7.761,7.804,199,10048,5652,3360,1036,10.171,10.558,,,,42,5.952,2165,24.81,203,7163,73.404
1,1,,,0,0,,,0,0,,1,,1,0,,,,,,,,,215,13129,10330,1406,1393,0.972,3.088,,,,,,,,,213,10345,5639,3144,1562,14.385,7.549,,,,,,,,104,4007,51.481
1,1,,,0,0,,,0,0,,1,,1,1,,,,,,,,,216,17278,12279,3949,1050,1.31,10.116,,,,,,,,,212,11846,6859,3783,1204,12.566,10.278,,,,,,,,209,9021,75.732
1,1,,,0,0,,,0,1,,0,,1,0,33,7.606,23442,,,,,,167,12819,10808,,,1.353,,34,7.706,10568,7909,2174,485,8.794,4.647,164,12978,7553,4361,1064,15.579,8.872,,,,,,,,66,5925,61.591
1,1,,,0,0,,,0,1,,0,,1,1,70,8.357,37836,29511,5544,2781,2.286,14.243,261,18668,14929,2956,783,1.467,8.207,71,8.296,15866,9815,5290,761,8.718,8.535,260,14205,7720,4785,1700,11.754,12.135,,,,66,7.197,3742,37.379,264,7985,84.553
1,1,,,0,0,,,0,1,,1,,1,0,,,,,,,,,172,12398,10392,1385,621,1.436,2.814,,,,,,,,,170,13330,7490,3794,2046,17.265,8.535,,,,,,,,70,6962,70.829
1,1,,,0,0,,,0,1,,1,,1,1,,,,,,,,,182,19927,15025,4046,856,1.703,10.571,,,,,,,,,182,14246,8136,3464,2646,14.203,10.341,,,,,,,,184,8433,89.842
1,1,,,0,0,,,1,0,,0,,1,0,,,,,,,,,150,14162,10872,2230,1060,1.12,5.42,,,,,,,,,148,8165,5173,1662,1330,11.216,7.243,,,,,,,,56,4571,51.018
1,1,,,0,0,,,1,0,,0,,1,1,39,8.487,42121,31151,8545,2425,1.846,22.282,178,14443,9851,4130,462,0.983,13.292,41,8.268,11861,6743,4258,860,7.244,9.317,176,11142,5433,4033,1676,9.392,10.54,,,,37,7.514,5914,52.541,178,9284,94.517
